store_id,store_name,latitude,longitude,open_time,close_time,is_open,popular_items,available_sizes,current_offer,available_quantity
2001,Costa Coffee FC Road,18.424305,73.749385,06:30,23:59,Yes,Tea|Mocha|Cold Coffee|Americano,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 39, ""M"": 6, ""L"": 48}"
2002,Cafe Coffee Day Camp,18.584617,73.926956,07:00,23:00,No,Sandwich|Hot Cocoa|Mocha|Tea|Muffin|Americano,S|M|L,10% Off on Hot Cocoa,"{""S"": 48, ""M"": 2, ""L"": 27}"
2003,Cafe Coffee Day Viman Nagar,18.508428,73.94139,09:00,23:59,Yes,Cold Coffee|Sandwich|Hot Cocoa,S|M|L,Buy1Get1 Muffin,"{""S"": 31, ""M"": 27, ""L"": 8}"
2004,The Daily Grind Viman Nagar,18.517389,73.762952,09:00,23:59,No,Sandwich|Latte|Tea|Cold Coffee,S|M|L,No Offer,"{""S"": 37, ""M"": 24, ""L"": 39}"
2005,Brew & Co Aundh,18.477316,73.743455,06:30,22:00,No,Muffin|Latte|Mocha|Espresso|Sandwich,S|M|L,No Offer,"{""S"": 22, ""M"": 22, ""L"": 26}"
2006,Brew & Co FC Road,18.559098,73.796127,08:00,20:00,Yes,Cappuccino|Mocha|Cold Coffee|Latte|Hot Cocoa,S|M|L,20% off on Mornings,"{""S"": 2, ""M"": 29, ""L"": 42}"
2007,Bean Brothers Kalyani Nagar,18.523942,73.837781,06:30,23:59,Yes,Tea|Muffin|Mocha|Hot Cocoa|Latte,S|M|L,No Offer,"{""S"": 6, ""M"": 44, ""L"": 43}"
2008,Blue Tokai Wakad,18.519616,73.93145,08:00,22:00,No,Tea|Espresso|Americano|Mocha|Latte,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 13, ""M"": 18, ""L"": 16}"
2009,Starbucks Aundh,18.639495,73.833187,07:00,20:00,Yes,Hot Cocoa|Cappuccino|Americano|Espresso|Sandwich,S|M|L,20% off on Mornings,"{""S"": 50, ""M"": 4, ""L"": 41}"
2010,The Daily Grind Camp,18.59339,73.840599,08:00,22:00,No,Hot Cocoa|Sandwich|Americano|Mocha|Muffin|Cappuccino,S|M|L,10% Off on Hot Cocoa,"{""S"": 40, ""M"": 45, ""L"": 33}"
2011,Costa Coffee Kalyani Nagar,18.520209,73.895293,09:00,23:00,No,Sandwich|Espresso|Mocha,S|M|L,No Offer,"{""S"": 9, ""M"": 15, ""L"": 9}"
2012,The Daily Grind Viman Nagar,18.498862,73.943145,06:30,22:00,No,Hot Cocoa|Cold Coffee|Muffin|Mocha|Americano,S|M|L,Buy1Get1 Muffin,"{""S"": 25, ""M"": 15, ""L"": 7}"
2013,Costa Coffee Koregaon Park,18.407049,73.927991,08:00,23:59,No,Tea|Latte|Espresso|Cappuccino|Cold Coffee|Muffin,S|M|L,10% Off on Hot Cocoa,"{""S"": 16, ""M"": 50, ""L"": 17}"
2014,Roast House Baner,18.555031,73.746836,09:00,20:00,Yes,Mocha|Hot Cocoa|Cappuccino,S|M|L,No Offer,"{""S"": 23, ""M"": 42, ""L"": 42}"
2015,Cafe Coffee Day Viman Nagar,18.626759,73.910516,07:00,22:00,Yes,Sandwich|Muffin|Hot Cocoa,S|M|L,No Offer,"{""S"": 5, ""M"": 15, ""L"": 38}"
2016,Cafe Coffee Day Wakad,18.479429,73.876938,09:00,22:00,No,Cold Coffee|Cappuccino|Muffin|Sandwich,S|M|L,20% off on Mornings,"{""S"": 28, ""M"": 26, ""L"": 16}"
2017,Coffee Corner FC Road,18.518086,73.826629,06:30,23:00,No,Espresso|Hot Cocoa|Cold Coffee|Americano|Muffin|Tea,S|M|L,20% off on Mornings,"{""S"": 1, ""M"": 41, ""L"": 38}"
2018,Starbucks FC Road,18.566164,73.926013,07:00,23:00,No,Mocha|Cappuccino|Espresso|Tea|Americano,S|M|L,No Offer,"{""S"": 0, ""M"": 25, ""L"": 16}"
2019,The Daily Grind MG Road,18.625117,73.9183,08:00,22:00,Yes,Mocha|Tea|Latte|Cold Coffee|Americano|Espresso,S|M|L,No Offer,"{""S"": 47, ""M"": 26, ""L"": 21}"
2020,Bean Brothers MG Road,18.598256,73.904336,06:30,23:00,No,Americano|Latte|Sandwich|Mocha|Tea,S|M|L,Buy1Get1 Muffin,"{""S"": 40, ""M"": 28, ""L"": 50}"
2021,Costa Coffee FC Road,18.496559,73.887491,08:00,20:00,Yes,Espresso|Sandwich|Cold Coffee|Tea,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 43, ""M"": 26, ""L"": 50}"
2022,Brew & Co Pune Central,18.515208,73.913141,08:00,22:00,No,Espresso|Cappuccino|Tea|Cold Coffee|Sandwich,S|M|L,No Offer,"{""S"": 24, ""M"": 36, ""L"": 14}"
2023,Starbucks FC Road,18.621947,73.892006,07:00,20:00,No,Hot Cocoa|Cold Coffee|Latte|Espresso,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 27, ""M"": 38, ""L"": 16}"
2024,Costa Coffee MG Road,18.630328,73.777529,06:30,20:00,No,Americano|Cappuccino|Espresso|Mocha|Sandwich|Tea,S|M|L,20% off on Mornings,"{""S"": 18, ""M"": 47, ""L"": 31}"
2025,Bean Brothers Baner,18.503914,73.786285,07:00,23:00,Yes,Cold Coffee|Tea|Muffin|Latte|Americano|Mocha,S|M|L,Buy1Get1 Muffin,"{""S"": 39, ""M"": 28, ""L"": 15}"
2026,Brew & Co Kalyani Nagar,18.564624,73.846659,06:30,23:59,Yes,Tea|Espresso|Muffin|Mocha|Sandwich,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 16, ""M"": 4, ""L"": 6}"
2027,Roast House FC Road,18.412907,73.960156,09:00,23:00,Yes,Hot Cocoa|Sandwich|Tea,S|M|L,20% off on Mornings,"{""S"": 25, ""M"": 42, ""L"": 23}"
2028,Costa Coffee Camp,18.41027,73.779749,07:00,23:59,No,Cold Coffee|Cappuccino|Mocha|Americano|Hot Cocoa|Espresso,S|M|L,Buy1Get1 Muffin,"{""S"": 16, ""M"": 7, ""L"": 20}"
2029,Starbucks Baner,18.520211,73.970309,08:00,23:00,No,Hot Cocoa|Muffin|Mocha|Espresso|Cappuccino,S|M|L,20% off on Mornings,"{""S"": 47, ""M"": 31, ""L"": 48}"
2030,Costa Coffee Camp,18.605128,73.894481,09:00,20:00,Yes,Latte|Espresso|Cold Coffee|Muffin,S|M|L,No Offer,"{""S"": 16, ""M"": 10, ""L"": 45}"
2031,Urban Sip Viman Nagar,18.428246,73.951542,09:00,20:00,No,Sandwich|Americano|Muffin|Espresso|Latte,S|M|L,Buy1Get1 Muffin,"{""S"": 7, ""M"": 22, ""L"": 5}"
2032,Blue Tokai Aundh,18.443757,73.777091,08:00,22:00,Yes,Tea|Cappuccino|Espresso|Muffin,S|M|L,No Offer,"{""S"": 43, ""M"": 6, ""L"": 21}"
2033,Starbucks Aundh,18.563915,73.900053,09:00,23:00,Yes,Cold Coffee|Latte|Cappuccino|Espresso|Mocha,S|M|L,No Offer,"{""S"": 29, ""M"": 40, ""L"": 17}"
2034,Coffee Corner FC Road,18.479462,73.747223,09:00,23:00,Yes,Latte|Hot Cocoa|Mocha|Tea,S|M|L,10% Off on Hot Cocoa,"{""S"": 47, ""M"": 4, ""L"": 35}"
2035,Coffee Corner Viman Nagar,18.422612,73.797939,07:00,23:59,Yes,Espresso|Cold Coffee|Tea,S|M|L,No Offer,"{""S"": 18, ""M"": 41, ""L"": 48}"
2036,Costa Coffee MG Road,18.472051,73.928964,08:00,22:00,No,Mocha|Sandwich|Espresso,S|M|L,No Offer,"{""S"": 28, ""M"": 24, ""L"": 30}"
2037,The Daily Grind Kalyani Nagar,18.544482,73.758353,09:00,23:00,Yes,Tea|Cappuccino|Latte|Hot Cocoa|Cold Coffee|Espresso,S|M|L,Buy1Get1 Muffin,"{""S"": 41, ""M"": 43, ""L"": 45}"
2038,Costa Coffee Pune Central,18.526947,73.892034,06:30,23:00,No,Cappuccino|Americano|Hot Cocoa|Muffin|Tea|Cold Coffee,S|M|L,Buy1Get1 Muffin,"{""S"": 33, ""M"": 27, ""L"": 18}"
2039,Coffee Corner FC Road,18.532639,73.956852,06:30,23:59,No,Americano|Hot Cocoa|Mocha,S|M|L,20% off on Mornings,"{""S"": 37, ""M"": 5, ""L"": 49}"
2040,Roast House FC Road,18.427745,73.895479,07:00,22:00,No,Cappuccino|Tea|Hot Cocoa,S|M|L,20% off on Mornings,"{""S"": 37, ""M"": 46, ""L"": 29}"
2041,Urban Sip Kalyani Nagar,18.59428,73.81862,07:00,22:00,Yes,Muffin|Hot Cocoa|Cappuccino,S|M|L,No Offer,"{""S"": 34, ""M"": 1, ""L"": 0}"
2042,Bean Brothers MG Road,18.403593,73.894092,09:00,23:59,No,Muffin|Mocha|Tea|Americano|Cold Coffee,S|M|L,10% Off on Hot Cocoa,"{""S"": 8, ""M"": 8, ""L"": 0}"
2043,Blue Tokai MG Road,18.596232,73.903748,07:00,20:00,Yes,Cold Coffee|Espresso|Tea|Americano|Mocha|Hot Cocoa,S|M|L,Buy1Get1 Muffin,"{""S"": 5, ""M"": 19, ""L"": 49}"
2044,Urban Sip Baner,18.514157,73.741936,07:00,22:00,No,Americano|Latte|Muffin|Hot Cocoa|Cappuccino|Mocha,S|M|L,20% off on Mornings,"{""S"": 36, ""M"": 25, ""L"": 3}"
2045,Brew & Co FC Road,18.425039,73.940131,09:00,23:59,No,Latte|Americano|Tea|Espresso|Hot Cocoa,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 46, ""M"": 39, ""L"": 43}"
2046,Urban Sip Koregaon Park,18.57183,73.863494,09:00,23:00,Yes,Tea|Americano|Cappuccino|Espresso|Hot Cocoa,S|M|L,20% off on Mornings,"{""S"": 28, ""M"": 44, ""L"": 27}"
2047,Starbucks Baner,18.469523,73.782828,08:00,23:59,Yes,Muffin|Mocha|Americano|Cappuccino,S|M|L,20% off on Mornings,"{""S"": 46, ""M"": 45, ""L"": 24}"
2048,Bean Brothers Wakad,18.591433,73.928641,07:00,22:00,No,Americano|Cold Coffee|Sandwich,S|M|L,Buy1Get1 Muffin,"{""S"": 10, ""M"": 38, ""L"": 31}"
2049,Cafe Coffee Day Viman Nagar,18.626733,73.855194,07:00,22:00,Yes,Mocha|Hot Cocoa|Muffin,S|M|L,Buy1Get1 Muffin,"{""S"": 11, ""M"": 32, ""L"": 2}"
2050,Cafe Coffee Day Wakad,18.503749,73.884915,06:30,22:00,No,Mocha|Muffin|Latte|Tea|Hot Cocoa,S|M|L,20% off on Mornings,"{""S"": 9, ""M"": 44, ""L"": 32}"
2051,Coffee Corner MG Road,18.569937,73.959092,09:00,23:59,Yes,Muffin|Cappuccino|Latte,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 6, ""M"": 10, ""L"": 40}"
2052,Cafe Coffee Day Koregaon Park,18.619037,73.774388,08:00,23:59,No,Cold Coffee|Mocha|Sandwich,S|M|L,Buy1Get1 Muffin,"{""S"": 7, ""M"": 12, ""L"": 28}"
2053,Bean Brothers FC Road,18.459276,73.930895,08:00,23:00,Yes,Hot Cocoa|Mocha|Tea,S|M|L,20% off on Mornings,"{""S"": 40, ""M"": 42, ""L"": 15}"
2054,Costa Coffee Camp,18.501613,73.791464,09:00,23:59,No,Sandwich|Mocha|Latte|Espresso|Cappuccino|Americano,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 4, ""M"": 5, ""L"": 21}"
2055,Brew & Co Viman Nagar,18.636067,73.776138,06:30,23:59,Yes,Muffin|Latte|Hot Cocoa|Espresso,S|M|L,No Offer,"{""S"": 43, ""M"": 44, ""L"": 35}"
2056,The Daily Grind Wakad,18.618615,73.738597,08:00,22:00,No,Espresso|Sandwich|Americano|Mocha|Cold Coffee|Muffin,S|M|L,Buy1Get1 Muffin,"{""S"": 19, ""M"": 5, ""L"": 2}"
2057,Roast House Wakad,18.493998,73.909231,07:00,23:00,Yes,Sandwich|Muffin|Hot Cocoa,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 21, ""M"": 48, ""L"": 40}"
2058,Costa Coffee FC Road,18.407094,73.927884,08:00,22:00,No,Sandwich|Cappuccino|Latte|Tea|Cold Coffee|Mocha,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 22, ""M"": 7, ""L"": 3}"
2059,Cafe Coffee Day Pune Central,18.471911,73.913546,09:00,23:00,Yes,Mocha|Hot Cocoa|Sandwich|Muffin,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 43, ""M"": 8, ""L"": 45}"
2060,Bean Brothers Camp,18.577403,73.761954,07:00,23:00,No,Cold Coffee|Tea|Sandwich,S|M|L,10% Off on Hot Cocoa,"{""S"": 5, ""M"": 3, ""L"": 27}"
2061,Costa Coffee Pune Central,18.451948,73.755437,09:00,23:59,No,Tea|Americano|Sandwich|Mocha|Espresso|Cappuccino,S|M|L,Buy1Get1 Muffin,"{""S"": 32, ""M"": 8, ""L"": 31}"
2062,Urban Sip Baner,18.632728,73.859865,06:30,22:00,No,Latte|Cold Coffee|Mocha|Muffin|Hot Cocoa|Espresso,S|M|L,10% Off on Hot Cocoa,"{""S"": 7, ""M"": 23, ""L"": 36}"
2063,The Daily Grind FC Road,18.525867,73.764958,08:00,23:00,No,Americano|Latte|Cold Coffee|Cappuccino|Hot Cocoa,S|M|L,No Offer,"{""S"": 3, ""M"": 19, ""L"": 18}"
2064,Blue Tokai Baner,18.59699,73.85401,06:30,23:00,Yes,Tea|Americano|Hot Cocoa,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 28, ""M"": 21, ""L"": 50}"
2065,Bean Brothers Pune Central,18.60067,73.936784,07:00,22:00,No,Americano|Cold Coffee|Mocha|Latte|Hot Cocoa|Muffin,S|M|L,No Offer,"{""S"": 24, ""M"": 14, ""L"": 25}"
2066,Brew & Co Camp,18.411397,73.897607,09:00,23:00,Yes,Latte|Hot Cocoa|Cappuccino|Mocha,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 5, ""M"": 12, ""L"": 39}"
2067,Roast House Kalyani Nagar,18.582228,73.96645,07:00,23:59,Yes,Sandwich|Cold Coffee|Latte,S|M|L,20% off on Mornings,"{""S"": 50, ""M"": 13, ""L"": 15}"
2068,Coffee Corner Pune Central,18.420716,73.864751,08:00,23:59,Yes,Latte|Mocha|Tea|Cappuccino|Espresso|Muffin,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 20, ""M"": 24, ""L"": 16}"
2069,Cafe Coffee Day MG Road,18.635549,73.866727,08:00,22:00,Yes,Cappuccino|Cold Coffee|Hot Cocoa|Espresso|Mocha,S|M|L,Buy1Get1 Muffin,"{""S"": 3, ""M"": 39, ""L"": 20}"
2070,Costa Coffee FC Road,18.571592,73.808226,06:30,23:00,Yes,Mocha|Hot Cocoa|Tea|Americano|Latte|Muffin,S|M|L,Buy1Get1 Muffin,"{""S"": 15, ""M"": 48, ""L"": 38}"
2071,Coffee Corner Koregaon Park,18.518715,73.917274,09:00,20:00,No,Mocha|Americano|Tea,S|M|L,10% Off on Hot Cocoa,"{""S"": 30, ""M"": 1, ""L"": 26}"
2072,Blue Tokai FC Road,18.464998,73.967934,06:30,22:00,Yes,Muffin|Tea|Americano|Latte|Mocha,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 13, ""M"": 50, ""L"": 9}"
2073,Brew & Co Camp,18.636874,73.924386,09:00,23:59,Yes,Americano|Hot Cocoa|Cold Coffee,S|M|L,10% Off on Hot Cocoa,"{""S"": 3, ""M"": 30, ""L"": 17}"
2074,Coffee Corner Aundh,18.601877,73.827937,08:00,22:00,No,Cold Coffee|Sandwich|Cappuccino,S|M|L,20% off on Mornings,"{""S"": 5, ""M"": 25, ""L"": 44}"
2075,Cafe Coffee Day Baner,18.574418,73.976417,09:00,22:00,No,Hot Cocoa|Americano|Muffin|Cappuccino|Mocha,S|M|L,20% off on Mornings,"{""S"": 21, ""M"": 13, ""L"": 29}"
2076,Coffee Corner Wakad,18.40421,73.902743,06:30,23:59,Yes,Cold Coffee|Tea|Americano,S|M|L,No Offer,"{""S"": 34, ""M"": 5, ""L"": 50}"
2077,Cafe Coffee Day Camp,18.407827,73.9364,09:00,20:00,No,Muffin|Mocha|Tea|Cappuccino|Sandwich|Latte,S|M|L,10% Off on Hot Cocoa,"{""S"": 29, ""M"": 23, ""L"": 12}"
2078,Urban Sip FC Road,18.453565,73.741448,08:00,23:00,Yes,Muffin|Hot Cocoa|Espresso,S|M|L,Buy1Get1 Muffin,"{""S"": 31, ""M"": 23, ""L"": 2}"
2079,The Daily Grind Pune Central,18.617482,73.906372,07:00,20:00,Yes,Cappuccino|Hot Cocoa|Americano|Muffin|Sandwich|Tea,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 43, ""M"": 43, ""L"": 38}"
2080,Coffee Corner Baner,18.416087,73.767479,06:30,22:00,No,Sandwich|Hot Cocoa|Espresso|Tea,S|M|L,10% Off on Hot Cocoa,"{""S"": 44, ""M"": 43, ""L"": 34}"
2081,Coffee Corner Aundh,18.563763,73.948644,06:30,23:59,Yes,Tea|Muffin|Hot Cocoa|Latte|Mocha,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 29, ""M"": 31, ""L"": 23}"
2082,Roast House FC Road,18.612513,73.790592,08:00,23:59,No,Latte|Tea|Espresso|Cold Coffee|Muffin,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 1, ""M"": 47, ""L"": 14}"
2083,Bean Brothers MG Road,18.620479,73.78395,08:00,23:00,Yes,Latte|Americano|Tea,S|M|L,10% Off on Hot Cocoa,"{""S"": 37, ""M"": 40, ""L"": 21}"
2084,The Daily Grind Koregaon Park,18.426282,73.793906,08:00,20:00,No,Cappuccino|Americano|Muffin|Mocha,S|M|L,No Offer,"{""S"": 37, ""M"": 7, ""L"": 5}"
2085,Starbucks FC Road,18.490975,73.95032,06:30,22:00,Yes,Latte|Hot Cocoa|Tea|Muffin|Americano|Mocha,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 3, ""M"": 18, ""L"": 24}"
2086,Bean Brothers MG Road,18.548552,73.835366,06:30,23:59,No,Tea|Cappuccino|Mocha|Americano|Muffin|Latte,S|M|L,No Offer,"{""S"": 33, ""M"": 21, ""L"": 37}"
2087,Blue Tokai MG Road,18.425046,73.879542,06:30,22:00,Yes,Mocha|Tea|Americano|Muffin|Hot Cocoa,S|M|L,No Offer,"{""S"": 11, ""M"": 15, ""L"": 8}"
2088,Starbucks FC Road,18.431043,73.876985,08:00,23:00,Yes,Americano|Hot Cocoa|Mocha|Cold Coffee,S|M|L,20% off on Mornings,"{""S"": 0, ""M"": 33, ""L"": 37}"
2089,Costa Coffee FC Road,18.457373,73.933304,06:30,23:59,No,Espresso|Muffin|Cappuccino|Cold Coffee,S|M|L,Buy1Get1 Muffin,"{""S"": 42, ""M"": 30, ""L"": 44}"
2090,Urban Sip Kalyani Nagar,18.566579,73.941182,08:00,23:00,No,Cold Coffee|Cappuccino|Americano|Tea|Latte,S|M|L,No Offer,"{""S"": 14, ""M"": 0, ""L"": 40}"
2091,Blue Tokai Koregaon Park,18.512369,73.787853,09:00,23:00,No,Tea|Cold Coffee|Latte|Sandwich,S|M|L,10% Off on Hot Cocoa,"{""S"": 4, ""M"": 22, ""L"": 1}"
2092,Roast House MG Road,18.434576,73.842398,08:00,20:00,Yes,Espresso|Hot Cocoa|Cold Coffee|Cappuccino,S|M|L,20% off on Mornings,"{""S"": 46, ""M"": 11, ""L"": 21}"
2093,Roast House Koregaon Park,18.44325,73.741858,08:00,20:00,Yes,Tea|Cappuccino|Mocha|Sandwich,S|M|L,20% off on Mornings,"{""S"": 29, ""M"": 15, ""L"": 23}"
2094,Brew & Co Baner,18.626279,73.971204,09:00,20:00,Yes,Cold Coffee|Espresso|Sandwich|Hot Cocoa,S|M|L,No Offer,"{""S"": 44, ""M"": 23, ""L"": 20}"
2095,Coffee Corner Viman Nagar,18.634876,73.795392,06:30,22:00,No,Mocha|Espresso|Latte|Muffin,S|M|L,20% off on Mornings,"{""S"": 8, ""M"": 32, ""L"": 37}"
2096,Urban Sip Koregaon Park,18.574952,73.92502,06:30,22:00,No,Americano|Sandwich|Muffin|Cappuccino|Cold Coffee,S|M|L,20% off on Mornings,"{""S"": 33, ""M"": 44, ""L"": 30}"
2097,Urban Sip Pune Central,18.464801,73.832927,06:30,22:00,Yes,Americano|Espresso|Tea|Cappuccino,S|M|L,20% off on Mornings,"{""S"": 27, ""M"": 24, ""L"": 36}"
2098,Costa Coffee Wakad,18.461487,73.757042,06:30,23:00,No,Espresso|Latte|Americano|Hot Cocoa|Tea,S|M|L,20% off on Mornings,"{""S"": 27, ""M"": 28, ""L"": 29}"
2099,Bean Brothers Viman Nagar,18.488603,73.85611,08:00,23:59,Yes,Americano|Espresso|Hot Cocoa|Mocha,S|M|L,10% Off on Hot Cocoa,"{""S"": 22, ""M"": 5, ""L"": 18}"
